# P91 ← P89 的跨批逐行归类表（闸：frontend/scripts/check-walkthrough-diff.mts）
# 五列 TAB 分：类别 / 文件 / 方向（< 只在 p89、> 只在 p91）/ 那一行逐字 / 为什么
# 16 份里 12 份逐字节相同；4 份有差异，共 14 行。
# 入参素材 10 · 产品改了 4 · 归一化漏洞 0 · 走查随机 0 · 量具改了 0 · 解释不了 0
入参素材	04-new-adv70.txt	<	跑之前 编辑器(.cm-line): 44	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
入参素材	04-new-adv70.txt	<	=== 正文两头 === {"lines":144,"db":144}	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
入参素材	04-new-adv70.txt	>	跑之前 编辑器(.cm-line): 43	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
入参素材	04-new-adv70.txt	>	=== 正文两头 === {"lines":143,"db":143}	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
入参素材	04-new-adv70.txt	<	--- 状态栏那个字数 --- "108 字"	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
入参素材	04-new-adv70.txt	>	--- 状态栏那个字数 --- "107 字"	这一趟 adv70 的种子标题传的是「P91 走查（可删）」，比 P89 那一趟短 1 个字；正文 = 「# 」+ 标题 + 那句固定的 27 字，于是这三处数各差 1（44→43 / 144→143 / 108→107）。产品一个字节没动：+100 那一发、「库 == 编辑器」两头、收工那行都跟 P89 逐格相同。
产品改了	10-old-b3old.txt	<	  摊开那段: "删掉全部屏幕活动？这一下会删掉：\n3 天的记录（最早 <D-2>）\n6 段，其中 4 段有描述\n6 张缩略图，连同还没删的原始截图\n1 份写好的日报\n这些描述抽进知识库的那些记忆\n一共 5 KB\n\n删完就真的没有了，没有回收站。开关、不记这些、留多久这几样设置留着——那是设置，不是记录。\n\n确认删掉这 3 天\n先不删\n回顾一段时间\n\n把这些天的日报汇成一篇长回顾，落成一篇笔记——之后还能接着编辑、接着续写。 没写过日报的那几天会被跳过，并写在笔记里。按一下是一次模型调用。\n\n最近 7 天\n最近 30 天\n记忆\n计划\n2\n屏幕活动\n 语音离线"	P91 A 那一刀（虚拟页上「计划」页签不再留白）。这一行里两处一起变：①「计划」后面那个角标 2 没了——那个 2 是上一篇留下的 agentRounds，而虚拟页上执行记录那一块画不出来，badge 现在跟正文同一份判据（planTabContent）；②「计划」底下多了那句 emptyHint。⚠️ 同一行尾巴上「 语音离线」也没了：那是状态栏 asrOffline 那一格，跟这一刀无关，它只在语音服务探测不通时才出现，这一趟探通了（p89 那一趟没通）。截图 p91-b4-old-wipe-light.png。
产品改了	10-old-b3old.txt	>	  摊开那段: "删掉全部屏幕活动？这一下会删掉：\n3 天的记录（最早 <D-2>）\n6 段，其中 4 段有描述\n6 张缩略图，连同还没删的原始截图\n1 份写好的日报\n这些描述抽进知识库的那些记忆\n一共 5 KB\n\n删完就真的没有了，没有回收站。开关、不记这些、留多久这几样设置留着——那是设置，不是记录。\n\n确认删掉这 3 天\n先不删\n回顾一段时间\n\n把这些天的日报汇成一篇长回顾，落成一篇笔记——之后还能接着编辑、接着续写。 没写过日报的那几天会被跳过，并写在笔记里。按一下是一次模型调用。\n\n最近 7 天\n最近 30 天\n记忆\n计划\n\n打开一篇笔记后，这里会摆出它的完成标准、目录、写作骨架和每一轮执行。\n\n屏幕活动\n"	P91 A 那一刀（虚拟页上「计划」页签不再留白）。这一行里两处一起变：①「计划」后面那个角标 2 没了——那个 2 是上一篇留下的 agentRounds，而虚拟页上执行记录那一块画不出来，badge 现在跟正文同一份判据（planTabContent）；②「计划」底下多了那句 emptyHint。⚠️ 同一行尾巴上「 语音离线」也没了：那是状态栏 asrOffline 那一格，跟这一刀无关，它只在语音服务探测不通时才出现，这一趟探通了（p89 那一趟没通）。截图 p91-b4-old-wipe-light.png。
产品改了	12-old-b4old.txt	<	  摊开那段: "删掉全部屏幕活动？这一下会删掉：\n3 天的记录（最早 <D-2>）\n6 段，其中 4 段有描述\n6 张缩略图，连同还没删的原始截图\n1 份写好的日报\n这些描述抽进知识库的那些记忆\n一共 5 KB\n\n删完就真的没有了，没有回收站。开关、不记这些、留多久这几样设置留着——那是设置，不是记录。\n\n确认删掉这 3 天\n先不删\n回顾一段时间\n\n把这些天的日报汇成一篇长回顾，落成一篇笔记——之后还能接着编辑、接着续写。 没写过日报的那几天会被跳过，并写在笔记里。按一下是一次模型调用。\n\n最近 7 天\n最近 30 天\n记忆\n计划\n2\n屏幕活动\n 语音离线"	P91 A 那一刀（虚拟页上「计划」页签不再留白）。这一行里两处一起变：①「计划」后面那个角标 2 没了——那个 2 是上一篇留下的 agentRounds，而虚拟页上执行记录那一块画不出来，badge 现在跟正文同一份判据（planTabContent）；②「计划」底下多了那句 emptyHint。⚠️ 同一行尾巴上「 语音离线」也没了：那是状态栏 asrOffline 那一格，跟这一刀无关，它只在语音服务探测不通时才出现，这一趟探通了（p89 那一趟没通）。截图 p91-b4-old-wipe-light.png。
产品改了	12-old-b4old.txt	>	  摊开那段: "删掉全部屏幕活动？这一下会删掉：\n3 天的记录（最早 <D-2>）\n6 段，其中 4 段有描述\n6 张缩略图，连同还没删的原始截图\n1 份写好的日报\n这些描述抽进知识库的那些记忆\n一共 5 KB\n\n删完就真的没有了，没有回收站。开关、不记这些、留多久这几样设置留着——那是设置，不是记录。\n\n确认删掉这 3 天\n先不删\n回顾一段时间\n\n把这些天的日报汇成一篇长回顾，落成一篇笔记——之后还能接着编辑、接着续写。 没写过日报的那几天会被跳过，并写在笔记里。按一下是一次模型调用。\n\n最近 7 天\n最近 30 天\n记忆\n计划\n\n打开一篇笔记后，这里会摆出它的完成标准、目录、写作骨架和每一轮执行。\n\n屏幕活动\n"	P91 A 那一刀（虚拟页上「计划」页签不再留白）。这一行里两处一起变：①「计划」后面那个角标 2 没了——那个 2 是上一篇留下的 agentRounds，而虚拟页上执行记录那一块画不出来，badge 现在跟正文同一份判据（planTabContent）；②「计划」底下多了那句 emptyHint。⚠️ 同一行尾巴上「 语音离线」也没了：那是状态栏 asrOffline 那一格，跟这一刀无关，它只在语音服务探测不通时才出现，这一趟探通了（p89 那一趟没通）。截图 p91-b4-old-wipe-light.png。
入参素材	15-old-recall74-default.txt	<	shot → <DIR>/<B>-recall74-default-light.png	这一趟 15-old-recall74-default 这一步传的截图前缀是 p91-recall74，P89 那一趟传的是 p89-recall74-default，归一化只把批次号 p<数字>- 洗成 <B>-，后面那半截原样留着。截图本身两批都拍了、名字都以 p91- 开头、一张都没事后改名；变的是我写清单时给的那个前缀，不是产品也不是量具。
入参素材	15-old-recall74-default.txt	<	shot → <DIR>/<B>-recall74-default-dark.png	这一趟 15-old-recall74-default 这一步传的截图前缀是 p91-recall74，P89 那一趟传的是 p89-recall74-default，归一化只把批次号 p<数字>- 洗成 <B>-，后面那半截原样留着。截图本身两批都拍了、名字都以 p91- 开头、一张都没事后改名；变的是我写清单时给的那个前缀，不是产品也不是量具。
入参素材	15-old-recall74-default.txt	>	shot → <DIR>/<B>-recall74-light.png	这一趟 15-old-recall74-default 这一步传的截图前缀是 p91-recall74，P89 那一趟传的是 p89-recall74-default，归一化只把批次号 p<数字>- 洗成 <B>-，后面那半截原样留着。截图本身两批都拍了、名字都以 p91- 开头、一张都没事后改名；变的是我写清单时给的那个前缀，不是产品也不是量具。
入参素材	15-old-recall74-default.txt	>	shot → <DIR>/<B>-recall74-dark.png	这一趟 15-old-recall74-default 这一步传的截图前缀是 p91-recall74，P89 那一趟传的是 p89-recall74-default，归一化只把批次号 p<数字>- 洗成 <B>-，后面那半截原样留着。截图本身两批都拍了、名字都以 p91- 开头、一张都没事后改名；变的是我写清单时给的那个前缀，不是产品也不是量具。
